,species,10021,10067,10073,10074,10091,10097,10119,10124,10126,10147,10185,10199,10236,10248,10249,10265,10267,10277,10306,10308,10309,10323,10324,10330,10333,10371,10377,10389,10459,10462,10464,10469,10480,10503,10505,10523,10525,10542,10550,10584,10598,10609,10615,10628,10644,10667,10668,10670,10671,10674,10675,10694,10700,10709,10713,10717,10718,10720,10723,10731,10745,10762,10767,10774,10775,10812,10816,10827,10829,10030,10237,10595,10603,10819,10887,10938,11010,11030,11036,11045,11054,11081,11085,11097,11103,11128,11132,11141,11162,11238,11428,11472,11478,11490,11817,11823,11835,11838,11881,11888,11900,11918,11951,11956,11973,11974,12002,12020,12022,12024,12025,Genus
0,Slackia exigua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Slackia
1,Streptococcus gordonii,0.0,0.0,0.01082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03674,0.0,0.0,0.0016,0.00662,0.00373,0.0,0.17965,0.0,0.02164,0.02084,0.02617,0.0,0.00472,0.0,0.03752,0.0,0.00898,0.10615,0.0,0.0,0.00085,0.0,0.00042,0.00149,0.0,0.00511,0.0,0.0,0.00896,0.0187,0.0,0.0,0.0,0.10032,0.0,0.01965,0.16712,0.0,0.02638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04858,0.0,0.0,0.06439,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.00061,0.01717,0.0,0.0,0.03518,0.00972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01652,0.00911,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00198,0.29639,0.0,0.0,0.0,0.0,0.01642,0.0,0.0,0.0,0.0,0.00162,0.0,Streptococcus
2,Holdemania sp AP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holdemania
3,Blautia hydrogenotrophica,0.0,0.01286,0.02506,0.0,0.0,0.0,0.0,0.0,0.0,0.04671,0.0,0.0,0.0,0.01086,0.43031,0.01285,0.0,0.00088,0.0,0.0,0.0,0.03753,0.0,0.0,0.0,0.03293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15043,0.02521,0.0,0.0,0.0,0.0,0.02167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01711,0.18071,0.0,0.0,0.0,0.0,0.0,0.01778,0.0,0.0,Blautia
4,Eubacterium hallii,0.0,0.02645,0.24703,0.88684,1.50062,0.15075,0.0,0.31014,0.13095,0.16509,0.1009,0.0,0.0,1.16787,0.11194,0.07404,0.01537,0.22967,0.60853,0.1892,0.00205,0.01066,0.0,0.0,0.19873,0.03956,0.20582,0.01832,0.08647,0.0,0.0,0.01282,0.0,0.16112,0.19401,0.0,0.04231,0.01362,0.00343,0.56499,0.0,0.07356,0.11277,0.25476,0.05125,0.09778,0.46076,0.32902,0.01393,0.04733,0.29195,0.0,0.51157,0.112,0.0794,0.0564,0.0,0.0518,0.18907,0.03323,0.0,0.26133,0.04657,0.04506,0.57614,0.0,0.05115,0.0,0.10108,0.10659,0.0,2.7442,0.0,0.02328,0.13206,0.09716,0.05845,0.24522,0.24509,0.08917,0.10414,0.06764,0.0,0.0,0.0,0.05703,0.0,0.0,0.0,0.11461,0.04375,0.0,1.22201,0.01399,1.64671,0.0,0.47935,0.18667,0.08437,0.10003,0.36267,0.00928,0.0,0.1,0.0,0.17986,2.57103,0.28305,0.03869,0.0,0.00853,Eubacterium
5,Prevotella salivae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prevotella
6,Clostridium bifermentans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clostridium
7,Paraprevotella unclassified,1.92248,1.12022,0.0,0.09565,0.0,1.01977,0.0,0.0,0.0,0.0,0.01072,0.0,0.0,0.1288,0.0,0.0,0.44086,2.26605,0.0,0.0,0.04206,0.0,0.03547,0.0,0.0,0.0,0.13322,0.62715,0.42781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425,0.01123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05169,0.0,0.0,0.0,0.32421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52745,0.0,0.0,0.0,0.33886,0.0,0.0,0.0,0.0,0.84085,0.0,0.0,0.0,0.0,3.9028,0.55607,0.0,2.54126,2.45693,0.04584,0.0,0.0,0.0,0.67061,0.0,0.52107,0.0,1.13244,2.50933,1.03951,0.0,0.0,0.42953,0.0,0.0,0.0,0.0,0.46215,0.23199,0.0,0.0,0.31204,0.0,0.03075,0.0,0.06539,0.67315,0.0,0.0,2.08193,Paraprevotella
8,Corynebacterium durum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00622,0.0,Corynebacterium
