,flux,reaction,metabolite
EX_Lcyst_medium,0.0,EX_Lcyst_medium,Lcyst_medium
EX_MGlcn104_medium,0.0,EX_MGlcn104_medium,MGlcn104_medium
EX_MGlcn104_rl_medium,0.0,EX_MGlcn104_rl_medium,MGlcn104_rl_medium
EX_MGlcn105_medium,0.0,EX_MGlcn105_medium,MGlcn105_medium
EX_MGlcn105_rl_medium,0.0,EX_MGlcn105_rl_medium,MGlcn105_rl_medium
EX_MGlcn106_rl_medium,-4e-06,EX_MGlcn106_rl_medium,MGlcn106_rl_medium
EX_MGlcn108_medium,0.0,EX_MGlcn108_medium,MGlcn108_medium
EX_MGlcn108_rl_medium,0.0,EX_MGlcn108_rl_medium,MGlcn108_rl_medium
EX_MGlcn109_medium,0.0,EX_MGlcn109_medium,MGlcn109_medium
EX_MGlcn109_rl_medium,0.0,EX_MGlcn109_rl_medium,MGlcn109_rl_medium
EX_MGlcn110_medium,0.0,EX_MGlcn110_medium,MGlcn110_medium
EX_MGlcn110_rl_medium,0.0,EX_MGlcn110_rl_medium,MGlcn110_rl_medium
EX_MGlcn111_medium,0.0,EX_MGlcn111_medium,MGlcn111_medium
EX_MGlcn112_medium,0.0,EX_MGlcn112_medium,MGlcn112_medium
EX_MGlcn112_rl_medium,0.0,EX_MGlcn112_rl_medium,MGlcn112_rl_medium
EX_MGlcn114_medium,-1.8633542915029907e-06,EX_MGlcn114_medium,MGlcn114_medium
EX_MGlcn114_rl_medium,0.0,EX_MGlcn114_rl_medium,MGlcn114_rl_medium
EX_MGlcn12_medium,0.0,EX_MGlcn12_medium,MGlcn12_medium
EX_MGlcn12_rl_medium,0.0,EX_MGlcn12_rl_medium,MGlcn12_rl_medium
EX_MGlcn138_medium,0.0,EX_MGlcn138_medium,MGlcn138_medium
EX_MGlcn138_rl_medium,0.0,EX_MGlcn138_rl_medium,MGlcn138_rl_medium
EX_MGlcn139_medium,-1.0000000000000016e-06,EX_MGlcn139_medium,MGlcn139_medium
EX_MGlcn139_rl_medium,0.0,EX_MGlcn139_rl_medium,MGlcn139_rl_medium
EX_MGlcn140_medium,0.0,EX_MGlcn140_medium,MGlcn140_medium
EX_MGlcn141_medium,0.0,EX_MGlcn141_medium,MGlcn141_medium
EX_MGlcn141_rl_medium,0.0,EX_MGlcn141_rl_medium,MGlcn141_rl_medium
EX_MGlcn142_medium,0.0,EX_MGlcn142_medium,MGlcn142_medium
EX_MGlcn142_rl_medium,0.0,EX_MGlcn142_rl_medium,MGlcn142_rl_medium
EX_MGlcn143_medium,0.0,EX_MGlcn143_medium,MGlcn143_medium
EX_MGlcn143_rl_medium,0.0,EX_MGlcn143_rl_medium,MGlcn143_rl_medium
