,flux,reaction,metabolite
EX_C02528_medium,-1e-06,EX_C02528_medium,C02528_medium
EX_Cit_Mg_medium,0.0,EX_Cit_Mg_medium,Cit_Mg_medium
EX_HC02191_medium,0.0,EX_HC02191_medium,HC02191_medium
EX_HC02194_medium,-1e-06,EX_HC02194_medium,HC02194_medium
EX_Lcyst_medium,0.0,EX_Lcyst_medium,Lcyst_medium
EX_MGlcn100_medium,0.0,EX_MGlcn100_medium,MGlcn100_medium
EX_MGlcn100_rl_medium,0.0,EX_MGlcn100_rl_medium,MGlcn100_rl_medium
EX_MGlcn101_medium,0.0,EX_MGlcn101_medium,MGlcn101_medium
EX_MGlcn101_rl_medium,0.0,EX_MGlcn101_rl_medium,MGlcn101_rl_medium
EX_MGlcn104_medium,0.0,EX_MGlcn104_medium,MGlcn104_medium
EX_MGlcn104_rl_medium,0.0,EX_MGlcn104_rl_medium,MGlcn104_rl_medium
EX_MGlcn105_medium,0.0,EX_MGlcn105_medium,MGlcn105_medium
EX_MGlcn105_rl_medium,0.0,EX_MGlcn105_rl_medium,MGlcn105_rl_medium
EX_MGlcn106_medium,0.0,EX_MGlcn106_medium,MGlcn106_medium
EX_MGlcn106_rl_medium,0.0,EX_MGlcn106_rl_medium,MGlcn106_rl_medium
EX_MGlcn107_medium,0.0,EX_MGlcn107_medium,MGlcn107_medium
EX_MGlcn107_rl_medium,0.0,EX_MGlcn107_rl_medium,MGlcn107_rl_medium
EX_MGlcn108_medium,-1e-06,EX_MGlcn108_medium,MGlcn108_medium
EX_MGlcn108_rl_medium,-1e-06,EX_MGlcn108_rl_medium,MGlcn108_rl_medium
EX_MGlcn109_medium,0.0,EX_MGlcn109_medium,MGlcn109_medium
EX_MGlcn109_rl_medium,0.0,EX_MGlcn109_rl_medium,MGlcn109_rl_medium
EX_MGlcn110_medium,0.0,EX_MGlcn110_medium,MGlcn110_medium
EX_MGlcn110_rl_medium,0.0,EX_MGlcn110_rl_medium,MGlcn110_rl_medium
EX_MGlcn111_medium,0.0,EX_MGlcn111_medium,MGlcn111_medium
EX_MGlcn111_rl_medium,0.0,EX_MGlcn111_rl_medium,MGlcn111_rl_medium
EX_MGlcn112_medium,0.0,EX_MGlcn112_medium,MGlcn112_medium
EX_MGlcn112_rl_medium,0.0,EX_MGlcn112_rl_medium,MGlcn112_rl_medium
EX_MGlcn113_medium,0.0,EX_MGlcn113_medium,MGlcn113_medium
EX_MGlcn113_rl_medium,0.0,EX_MGlcn113_rl_medium,MGlcn113_rl_medium
EX_MGlcn114_medium,0.0,EX_MGlcn114_medium,MGlcn114_medium
EX_MGlcn114_rl_medium,0.0,EX_MGlcn114_rl_medium,MGlcn114_rl_medium
EX_MGlcn115_medium,0.0,EX_MGlcn115_medium,MGlcn115_medium
EX_MGlcn115_rl_medium,0.0,EX_MGlcn115_rl_medium,MGlcn115_rl_medium
EX_MGlcn116_medium,0.0,EX_MGlcn116_medium,MGlcn116_medium
EX_MGlcn116_rl_medium,0.0,EX_MGlcn116_rl_medium,MGlcn116_rl_medium
EX_MGlcn117_medium,0.0,EX_MGlcn117_medium,MGlcn117_medium
EX_MGlcn117_rl_medium,0.0,EX_MGlcn117_rl_medium,MGlcn117_rl_medium
EX_MGlcn118_medium,0.0,EX_MGlcn118_medium,MGlcn118_medium
EX_MGlcn118_rl_medium,0.0,EX_MGlcn118_rl_medium,MGlcn118_rl_medium
EX_MGlcn119_medium,0.0,EX_MGlcn119_medium,MGlcn119_medium
EX_MGlcn119_rl_medium,0.0,EX_MGlcn119_rl_medium,MGlcn119_rl_medium
EX_MGlcn120_medium,0.0,EX_MGlcn120_medium,MGlcn120_medium
EX_MGlcn120_rl_medium,0.0,EX_MGlcn120_rl_medium,MGlcn120_rl_medium
EX_MGlcn121_medium,0.0,EX_MGlcn121_medium,MGlcn121_medium
EX_MGlcn121_rl_medium,0.0,EX_MGlcn121_rl_medium,MGlcn121_rl_medium
EX_MGlcn122_medium,0.0,EX_MGlcn122_medium,MGlcn122_medium
EX_MGlcn122_rl_medium,0.0,EX_MGlcn122_rl_medium,MGlcn122_rl_medium
EX_MGlcn123_medium,0.0,EX_MGlcn123_medium,MGlcn123_medium
EX_MGlcn123_rl_medium,0.0,EX_MGlcn123_rl_medium,MGlcn123_rl_medium
EX_MGlcn124_medium,0.0,EX_MGlcn124_medium,MGlcn124_medium
EX_MGlcn124_rl_medium,0.0,EX_MGlcn124_rl_medium,MGlcn124_rl_medium
EX_MGlcn126_medium,0.0,EX_MGlcn126_medium,MGlcn126_medium
EX_MGlcn126_rl_medium,0.0,EX_MGlcn126_rl_medium,MGlcn126_rl_medium
EX_MGlcn127_medium,0.0,EX_MGlcn127_medium,MGlcn127_medium
EX_MGlcn127_rl_medium,0.0,EX_MGlcn127_rl_medium,MGlcn127_rl_medium
EX_MGlcn128_medium,0.0,EX_MGlcn128_medium,MGlcn128_medium
EX_MGlcn128_rl_medium,0.0,EX_MGlcn128_rl_medium,MGlcn128_rl_medium
EX_MGlcn129_medium,0.0,EX_MGlcn129_medium,MGlcn129_medium
EX_MGlcn129_rl_medium,0.0,EX_MGlcn129_rl_medium,MGlcn129_rl_medium
EX_MGlcn12_medium,-1e-06,EX_MGlcn12_medium,MGlcn12_medium
EX_MGlcn12_rl_medium,-1e-06,EX_MGlcn12_rl_medium,MGlcn12_rl_medium
EX_MGlcn130_medium,0.0,EX_MGlcn130_medium,MGlcn130_medium
EX_MGlcn130_rl_medium,0.0,EX_MGlcn130_rl_medium,MGlcn130_rl_medium
EX_MGlcn131_medium,0.0,EX_MGlcn131_medium,MGlcn131_medium
EX_MGlcn131_rl_medium,0.0,EX_MGlcn131_rl_medium,MGlcn131_rl_medium
EX_MGlcn132_medium,0.0,EX_MGlcn132_medium,MGlcn132_medium
EX_MGlcn132_rl_medium,0.0,EX_MGlcn132_rl_medium,MGlcn132_rl_medium
EX_MGlcn133_medium,0.0,EX_MGlcn133_medium,MGlcn133_medium
EX_MGlcn133_rl_medium,0.0,EX_MGlcn133_rl_medium,MGlcn133_rl_medium
EX_MGlcn134_medium,0.0,EX_MGlcn134_medium,MGlcn134_medium
EX_MGlcn134_rl_medium,0.0,EX_MGlcn134_rl_medium,MGlcn134_rl_medium
EX_MGlcn135_medium,0.0,EX_MGlcn135_medium,MGlcn135_medium
EX_MGlcn135_rl_medium,0.0,EX_MGlcn135_rl_medium,MGlcn135_rl_medium
EX_MGlcn136_medium,0.0,EX_MGlcn136_medium,MGlcn136_medium
EX_MGlcn136_rl_medium,0.0,EX_MGlcn136_rl_medium,MGlcn136_rl_medium
EX_MGlcn137_medium,0.0,EX_MGlcn137_medium,MGlcn137_medium
EX_MGlcn137_rl_medium,0.0,EX_MGlcn137_rl_medium,MGlcn137_rl_medium
EX_MGlcn138_medium,0.0,EX_MGlcn138_medium,MGlcn138_medium
EX_MGlcn138_rl_medium,0.0,EX_MGlcn138_rl_medium,MGlcn138_rl_medium
EX_MGlcn139_medium,0.0,EX_MGlcn139_medium,MGlcn139_medium
EX_MGlcn139_rl_medium,0.0,EX_MGlcn139_rl_medium,MGlcn139_rl_medium
EX_MGlcn140_medium,0.0,EX_MGlcn140_medium,MGlcn140_medium
EX_MGlcn140_rl_medium,0.0,EX_MGlcn140_rl_medium,MGlcn140_rl_medium
EX_MGlcn141_medium,0.0,EX_MGlcn141_medium,MGlcn141_medium
EX_MGlcn141_rl_medium,0.0,EX_MGlcn141_rl_medium,MGlcn141_rl_medium
EX_MGlcn142_medium,0.0,EX_MGlcn142_medium,MGlcn142_medium
EX_MGlcn142_rl_medium,0.0,EX_MGlcn142_rl_medium,MGlcn142_rl_medium
EX_MGlcn143_medium,0.0,EX_MGlcn143_medium,MGlcn143_medium
EX_MGlcn143_rl_medium,0.0,EX_MGlcn143_rl_medium,MGlcn143_rl_medium
EX_MGlcn144_medium,0.0,EX_MGlcn144_medium,MGlcn144_medium
EX_MGlcn144_rl_medium,0.0,EX_MGlcn144_rl_medium,MGlcn144_rl_medium
EX_MGlcn145_medium,0.0,EX_MGlcn145_medium,MGlcn145_medium
EX_MGlcn145_rl_medium,0.0,EX_MGlcn145_rl_medium,MGlcn145_rl_medium
EX_MGlcn146_medium,0.0,EX_MGlcn146_medium,MGlcn146_medium
EX_MGlcn146_rl_medium,0.0,EX_MGlcn146_rl_medium,MGlcn146_rl_medium
EX_MGlcn147_medium,0.0,EX_MGlcn147_medium,MGlcn147_medium
EX_MGlcn147_rl_medium,0.0,EX_MGlcn147_rl_medium,MGlcn147_rl_medium
EX_MGlcn148_medium,0.0,EX_MGlcn148_medium,MGlcn148_medium
EX_MGlcn148_rl_medium,0.0,EX_MGlcn148_rl_medium,MGlcn148_rl_medium
EX_MGlcn149_medium,0.0,EX_MGlcn149_medium,MGlcn149_medium
EX_MGlcn149_rl_medium,0.0,EX_MGlcn149_rl_medium,MGlcn149_rl_medium
EX_MGlcn14_medium,0.0,EX_MGlcn14_medium,MGlcn14_medium
EX_MGlcn14_rl_medium,0.0,EX_MGlcn14_rl_medium,MGlcn14_rl_medium
EX_MGlcn153_medium,0.0,EX_MGlcn153_medium,MGlcn153_medium
EX_MGlcn153_rl_medium,0.0,EX_MGlcn153_rl_medium,MGlcn153_rl_medium
EX_MGlcn155_medium,0.0,EX_MGlcn155_medium,MGlcn155_medium
EX_MGlcn155_rl_medium,0.0,EX_MGlcn155_rl_medium,MGlcn155_rl_medium
EX_MGlcn156_medium,0.0,EX_MGlcn156_medium,MGlcn156_medium
EX_MGlcn156_rl_medium,0.0,EX_MGlcn156_rl_medium,MGlcn156_rl_medium
EX_MGlcn157_medium,0.0,EX_MGlcn157_medium,MGlcn157_medium
EX_MGlcn157_rl_medium,0.0,EX_MGlcn157_rl_medium,MGlcn157_rl_medium
EX_MGlcn158_medium,0.0,EX_MGlcn158_medium,MGlcn158_medium
EX_MGlcn158_rl_medium,0.0,EX_MGlcn158_rl_medium,MGlcn158_rl_medium
EX_MGlcn159_medium,0.0,EX_MGlcn159_medium,MGlcn159_medium
EX_MGlcn159_rl_medium,0.0,EX_MGlcn159_rl_medium,MGlcn159_rl_medium
